abbr,id,fips,name,collection_date,sum_adm_all_covid_confirmed,pct_chg_avg_adm_all_covid_confirmed_per_100k,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,avg_percent_inpatient_beds_occupied_covid_confirmed,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid,mmwrweek_end,change,change_text,burden,burden_text,covid_pct_of_total_weekly,covid_deaths_3_month_period,aa_covid_rate_3_month_period,data_as_of,covid_deaths_total,aa_covid_rate_total,data_period_end,mmwrweek_end_testing,level,perc_diff,percent_pos,percent_pos_2_week,percent_pos_4_week,number_tested,number_tested_2_week,number_tested_4_week,pct_change_wk_weekly,pct_diff_wk_weekly,data_update_dte
AK,2,02,Alaska,2024-03-23,10531,-41.2,10,1.37,0.7,-0.1,0.3,-0.7,2024-03-23,-43.2%,Substantial Decrease (< -19.9%),0.4%,Minimal (< 1.5%),0,22,3.6,2024-03-28,1575,236.6,2024-03-23,2024-03-23,Region 10,-1.4,4.4,5.9,6.9,6299,13736,30246,NA,NA,2024-04-01 14:07:00
AL,1,01,Alabama,2024-03-23,128231,-20.2,197,4.02,1.6,-0.4,2.1,-0.2,2024-03-23,-34.2%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,330,5.3,2024-03-28,23116,371.3,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,NA,NA,2024-04-01 14:07:00
AR,5,05,Arkansas,2024-03-23,72943,0.8,121,4.01,1.2,-0.2,1.5,-1.4,2024-03-23,-20.8%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,206,5.6,2024-03-28,13015,350.5,2024-03-23,2024-03-23,Region 6,-0.1,4.7,5.3,6.6,11525,29523,62940,NA,NA,2024-04-01 14:07:00
AS,60,60,American Samoa,2024-03-23,225,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-01 14:07:00
AZ,4,04,Arizona,2024-03-23,164784,-15.9,153,2.1,0.8,-0.1,0.9,0,2024-03-23,-23.6%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),NA,317,3.4,2024-03-28,30558,334,2024-03-23,2024-03-23,Region 9,-0.1,4,4.5,5.9,3196,9795,21305,NA,NA,2024-04-01 14:07:00
CA,6,06,California,2024-03-23,671394,-8.9,957,2.42,1.2,-0.2,0.9,-0.1,2024-03-23,-14.3%,Moderate Decrease (-19.9% to -10.0%),0.4%,Minimal (< 1.5%),0.9,1432,3.3,2024-03-28,112687,254.4,2024-03-23,2024-03-23,Region 9,-0.1,4,4.5,5.9,3196,9795,21305,-35.7,-0.5,2024-04-01 14:07:00
CO,8,08,Colorado,2024-03-23,106416,0,111,1.93,0.8,0.1,1.1,0.1,2024-03-23,-20.3%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),NA,171,2.9,2024-03-28,15621,258.2,2024-03-23,2024-03-23,Region 8,-1.4,3.6,4.8,5.4,2933,6652,14004,NA,NA,2024-04-01 14:07:00
CT,9,09,Connecticut,2024-03-23,72243,-29.4,84,2.36,1,-0.5,1,-0.6,2024-03-23,-14.5%,Moderate Decrease (-19.9% to -10.0%),0.6%,Minimal (< 1.5%),NA,225,4.7,2024-03-28,12845,263.3,2024-03-23,2024-03-23,Region 1,-0.4,3.4,4.2,5,4107,10091,21075,NA,NA,2024-04-01 14:07:00
DC,11,11,District of Columbia,2024-03-23,18023,-22.9,27,3.83,1.4,-0.4,1.1,-0.8,2024-03-23,-12.7%,Moderate Decrease (-19.9% to -10.0%),0.5%,Minimal (< 1.5%),0,29,4.5,2024-03-28,1944,292.4,2024-03-23,2024-03-23,Region 3,-0.2,3.4,4.1,5.5,3548,8785,19086,NA,NA,2024-04-01 14:07:00
DE,10,10,Delaware,2024-03-23,21917,6.7,32,3.29,1.6,-0.3,1.1,-0.7,2024-03-23,-6.6%,Stable (-9.9% to 9.9%),0.7%,Minimal (< 1.5%),NA,95,7.3,2024-03-28,3657,274.1,2024-03-23,2024-03-23,Region 3,-0.2,3.4,4.1,5.5,3548,8785,19086,NA,NA,2024-04-01 14:07:00
FL,12,12,Florida,2024-03-23,608505,-15.6,736,3.43,1.3,-0.2,1.6,-0.5,2024-03-23,-16.3%,Moderate Decrease (-19.9% to -10.0%),0.7%,Minimal (< 1.5%),1.3,1276,3.8,2024-03-28,82913,257.7,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,-35,-0.7,2024-04-01 14:07:00
FSM,64,64,Federated States of Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-01 14:07:00
GA,13,13,Georgia,2024-03-23,255914,-14.9,354,3.33,1.9,-0.3,2.3,-0.6,2024-03-23,-29.9%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),2.7,566,5.2,2024-03-28,37386,327.7,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,0,0,2024-04-01 14:07:00
